barcode;nama;harga
8997010000000;Mazzoni Red Hot (250gr);6500
8997010000000;Mazzoni Red Hot Sachet;6000
8997010000000;Mazzoni Sauce Bbq (1kg);31000
8997010000000;Mazzoni Sauce Bbq (250gr);11000
8997010000000;Mazzoni Sauce Blackpaper (250gr);9000
1234755;Mazzoni Teriyaki (1kg);28000
8997010000000;Mazzoni Teriyaki (250gr);9000
8997020000000;Mc Lewis Sweet Mayonaise C8 (1kg);22500
89686023787;Mie Goreng Sakura (60gr);2500
89686023039;Mie Sakura Seblak Jeletot (60gr);2500
8993090000000;Minyak Goreng Rose Brand (2lt);40000
8993090000000;Minyak Goreng Tawon (2lt);40000
8990020000000;Minyak Wijen (100ml);16500
102729;Mirea Baso Salmon (500gr);25000
102751;Mirea Baso udang (200gr);12000
102656;Mirea Cumi Flower (200gr);17000
8997200000000;Mirea Dumpling Ayam (200gr);12000
102669;Mirea Dumpling Ayam (500gr);27000
102670;Mirea Dumpling Cheese (500gr);27000
8990200000000;Mirea Dumpling Keju (200gr);12000
9780200000000;Mirea Fish Roll (250gr);13500
201379624;Mirea Fish Roll (500gr);24500
8997800000000;Mirea Fish ball (200gr);10000
102720;Mirea Fish ball (500gr);20500
102655;Mirea Otak-Otak Ikan (200gr);11000
102684;Mirea Salmon Ball (200gr);17000
8997020000000;Mister Max Jumbo Isi 8 (500gr);26000
102658;Mister Max Otak-Otak (250gr);13000
89970175629;Mister Max Sosis Bakar Ayam 500gr;26000
8997020000000;Mister Max Sosis Bakar Isi 10+2 (500gr);26000
102659;Mister Max sosis coccktai merah (500gr);36000
8992700000000;Mitraku Bakso Aneka Seafood (500gr);27000
8992700000000;Mitraku Bakso Ikan (200gr);12000
8992700000000;Mitraku Bakso Ikan (500gr);25000
8992700000000;Mitraku Bakso Ikan Salmon (250gr);16000
8992700000000;Mitraku Bakso Mix (250gr);15000
8992700000000;Mitraku Bakso Mix (500gr);26500
8992700000000;Mitraku Bakso Salmon (1kg);56000
